"state","stateab","year.x","electors","year.y","weeks_left","days_left","party","candidate","poll_date","poll_support","before_convention"
"Arizona","AZ",2024,11,2024,12,84,"DEM","Harris","2024-08-13",45.10885,TRUE
"Arizona","AZ",2024,11,2024,12,85,"REP","Trump","2024-08-12",44.79145,FALSE
"Arizona","AZ",2024,11,2024,12,85,"DEM","Harris","2024-08-12",45.0974,TRUE
"Arizona","AZ",2024,11,2024,12,86,"REP","Trump","2024-08-11",44.8036,FALSE
"Arizona","AZ",2024,11,2024,12,86,"DEM","Harris","2024-08-11",44.81655,TRUE
"Arizona","AZ",2024,11,2024,10,67,"REP","Trump","2024-08-30",46.3425,FALSE
"Arizona","AZ",2024,11,2024,10,67,"DEM","Harris","2024-08-30",46.43875,FALSE
"Arizona","AZ",2024,11,2024,10,68,"REP","Trump","2024-08-29",46.12405,FALSE
"Arizona","AZ",2024,11,2024,10,68,"DEM","Harris","2024-08-29",46.4867,FALSE
"Arizona","AZ",2024,11,2024,10,69,"REP","Trump","2024-08-28",45.08905,FALSE
"Arizona","AZ",2024,11,2024,10,69,"DEM","Harris","2024-08-28",46.0468,FALSE
"Arizona","AZ",2024,11,2024,10,70,"REP","Trump","2024-08-27",44.6837,FALSE
"Arizona","AZ",2024,11,2024,10,70,"DEM","Harris","2024-08-27",45.5373,FALSE
"Arizona","AZ",2024,11,2024,13,91,"REP","Trump","2024-08-06",45.3732,FALSE
"Arizona","AZ",2024,11,2024,13,91,"DEM","Harris","2024-08-06",44.1139,TRUE
"Arizona","AZ",2024,11,2024,13,92,"REP","Trump","2024-08-05",45.84125,FALSE
"Arizona","AZ",2024,11,2024,13,92,"DEM","Harris","2024-08-05",44.0405,TRUE
"Arizona","AZ",2024,11,2024,13,93,"REP","Trump","2024-08-04",45.92985,FALSE
"Arizona","AZ",2024,11,2024,13,93,"DEM","Harris","2024-08-04",43.9024,TRUE
"Arizona","AZ",2024,11,2024,13,94,"REP","Trump","2024-08-03",45.8463,FALSE
"Arizona","AZ",2024,11,2024,13,94,"DEM","Harris","2024-08-03",43.68015,TRUE
"Arizona","AZ",2024,11,2024,14,95,"REP","Trump","2024-08-02",45.8048,FALSE
"Arizona","AZ",2024,11,2024,14,95,"DEM","Harris","2024-08-02",43.7277,TRUE
"Arizona","AZ",2024,11,2024,14,96,"REP","Trump","2024-08-01",45.8746,FALSE
"Arizona","AZ",2024,11,2024,14,96,"DEM","Harris","2024-08-01",43.54575,TRUE
"Arizona","AZ",2024,11,2024,25,173,"DEM","Biden","2024-05-16",39.235,TRUE
"Arizona","AZ",2024,11,2024,25,174,"REP","Trump","2024-05-15",42.9403,TRUE
"Arizona","AZ",2024,11,2024,25,174,"DEM","Biden","2024-05-15",39.2884,TRUE
"Arizona","AZ",2024,11,2024,25,175,"REP","Trump","2024-05-14",42.8316,TRUE
"Arizona","AZ",2024,11,2024,25,175,"DEM","Biden","2024-05-14",39.26635,TRUE
"Arizona","AZ",2024,11,2024,25,176,"REP","Trump","2024-05-13",42.74575,TRUE
"Arizona","AZ",2024,11,2024,25,176,"DEM","Biden","2024-05-13",39.336,TRUE
"Arizona","AZ",2024,11,2024,25,177,"REP","Trump","2024-05-12",42.28965,TRUE
"Arizona","AZ",2024,11,2024,25,177,"DEM","Biden","2024-05-12",39.9573,TRUE
